net,length_um
_1112_,26.48
tx.baud_cnt\[1\],26.38
_0580_,26.24
_0878_,26.16
_0949_,26.11
_0018_,26.01
_0827_,25.96
_0740_,25.94
_0723_,25.8
_1170_,25.74
_1117_,25.64
_0655_,25.62
_0770_,25.62
_0853_,25.54
_1086_,25.52
divisor\[2\],25.48
_0586_,25.44
rx.bit_cnt\[0\],25.37
_0732_,25.26
_0003_,25.19
rx_fifo.count\[1\],25.1
rx_fifo.fifo\[10\]\[6\],25.1
_0719_,24.98
_0027_,24.94
tx_fifo.fifo\[5\]\[0\],24.84
_0717_,24.76
_1046_,24.72
_0636_,24.54
tx.baud_cnt\[5\],24.38
_0656_,24.34
_0594_,24.3
rx_fifo.count\[3\],24.3
_0914_,24.29
_0818_,24.24
_0520_,24.2
_1194_,23.94
_1113_,23.935
_0757_,23.92
_1064_,23.84
_0855_,23.78
_0633_,23.755
_1153_,23.66
_0972_,23.64
_0899_,23.62
rx.baud_cnt\[6\],23.58
_1045_,23.5
rx.baud_cnt\[14\],23.44
_0652_,23.36
regs.rx_data\[0\],23.22
_0180_,23.1
tx_fifo.fifo\[13\]\[2\],23.07
_0632_,23.02
_0894_,23.02
_0943_,23
_1068_,22.94
_0658_,22.92
net238,22.855
net205,22.84
_0532_,22.82
_0830_,22.76
_1051_,22.72
tx_fifo.fifo\[7\]\[0\],22.67
net296,22.665
framing_err,22.63
_0851_,22.62
_0869_,22.56
_0155_,22.54
rx_fifo.fifo\[10\]\[9\],22.35
_0946_,22.3
rx.baud_cnt\[1\],22.16
_0857_,22.1
_0940_,22.09
regs.dlh\[4\],22.06
_0609_,22.02
net199,22
_0961_,21.96
_0519_,21.84
rx.sample_cnt\[3\],21.84
tx.baud_cnt\[10\],21.82
net181,21.78
_0810_,21.7
rx_fifo.head\[2\],21.68
_0745_,21.66
regs.rx_data\[7\],21.66
_1144_,21.355
net327,21.32
_1216_,21.24
tx.baud_cnt\[3\],21.24
_0502_,21.23
tx.bit_cnt\[0\],21.22
_0587_,21.08
_0779_,21.08
_0973_,21.08
rx_fifo.fifo\[12\]\[2\],21
tx_fifo.fifo\[13\]\[6\],20.99
_0986_,20.945
_0637_,20.88
rx_fifo.fifo\[0\]\[4\],20.815
_1120_,20.8
tx.bit_cnt\[2\],20.8
_0690_,20.7
net200,20.68
tx_fifo.fifo\[7\]\[2\],20.65
_0985_,20.64
_0550_,20.44
_0139_,20.32
rx_fifo.fifo\[4\]\[3\],20.12
regs.err_pending,20.1
_0518_,20.08
_1209_,19.8
_0840_,19.72
rx_fifo.fifo\[9\]\[6\],19.65
_0887_,19.64
regs.mcr_reg\[7\],19.6
_0835_,19.5
_0705_,19.48
rx_fifo.fifo\[10\]\[8\],19.465
_0755_,19.3
_0786_,19.28
_0653_,19.26
_1154_,19.26
_0847_,19.22
net201,19.14
rx_fifo.fifo\[7\]\[9\],19.05
rx_fifo.fifo\[9\]\[7\],19.05
_0938_,19
net204,18.94
net347,18.9
_0803_,18.82
rx_fifo.fifo\[1\]\[7\],18.815
tx.baud_cnt\[7\],18.78
regs.ier\[2\],18.74
net209,18.74
_0971_,18.68
_0579_,18.66
_0826_,18.62
_0838_,18.6
_0630_,18.56
_1169_,18.55
_0141_,18.32
rx_fifo.fifo\[9\]\[5\],18.27
rx.bit_cnt\[1\],18.255
_0977_,18.2
_0800_,18.135
_1053_,18.08
_0008_,18.03
_0512_,17.96
rx_fifo.fifo\[0\]\[1\],17.96
net344,17.86
net351,17.82
_1206_,17.8
rx_fifo.fifo\[9\]\[8\],17.77
tx_fifo.fifo\[8\]\[5\],17.765
_0989_,17.7
tx_fifo.fifo\[14\]\[2\],17.69
_0739_,17.68
_0675_,17.64
_0741_,17.6
_0147_,17.52
_0772_,17.48
tx_fifo.fifo\[12\]\[2\],17.43
rx_fifo.fifo\[15\]\[7\],17.38
tx_fifo.fifo\[14\]\[4\],17.37
regs.tx_data\[6\],17.32
rx.state\[2\],17.32
_1016_,17.28
rx.sample_cnt\[2\],17.27
_0806_,17.14
net213,17.12
_0964_,17.08
_0689_,17.06
_0731_,17.025
_0941_,16.99
_0737_,16.9
_0126_,16.86
_0831_,16.76
_0614_,16.74
_0956_,16.72
_1175_,16.72
_0790_,16.7
_1085_,16.68
_0924_,16.64
regs.lcr\[6\],16.64
wdata[2],16.62
net308,16.6
rx_fifo.fifo\[3\]\[0\],16.58
_0664_,16.52
_0927_,16.46
_0710_,16.42
tx.baud_cnt\[13\],16.42
_1023_,16.34
_1229_,16.32
rx_fifo.fifo\[12\]\[1\],16.32
rx.parity_err_lat,16.3
net389,16.22
rx_fifo.fifo\[12\]\[10\],16.18
_0507_,16.15
tx_fifo.fifo\[2\]\[5\],16.09
_0951_,16
_0159_,15.9
tx.shift_reg\[2\],15.9
rx.bit_cnt\[2\],15.725
_1214_,15.7
_0955_,15.68
tx_fifo.fifo\[2\]\[6\],15.65
net291,15.6
_1030_,15.56
_0693_,15.54
_1055_,15.54
_0657_,15.5
tx_fifo.fifo\[10\]\[4\],15.445
_0713_,15.42
regs.ier\[0\],15.42
net352,15.42
rdata[3],15.4
rx.baud_cnt\[12\],15.4
_1123_,15.395
tx_fifo.fifo\[12\]\[1\],15.28
_0588_,15.22
_1026_,15.22
_0598_,15.2
_1007_,15.165
_1041_,15.12
tx.baud_cnt\[4\],15.04
_0526_,14.94
net294,14.92
_0663_,14.88
tx_fifo.fifo\[12\]\[3\],14.87
_0577_,14.84
_0542_,14.82
rx_fifo.fifo\[1\]\[0\],14.74
_1118_,14.7
net317,14.7
_0158_,14.68
_0724_,14.68
net277,14.68
tx_fifo.fifo\[1\]\[3\],14.65
_0743_,14.6
_0807_,14.56
